Personality,Budget,Brand,Place to Wear,Combination of Clothes,Suitable Climate,Comfortability,Material
Chic,High,Uniqlo,Wedding,Dress Shirt + Tie + Suit Pants,Mild,Moderate,Polyester
Bohemian,Medium,Ralph Lauren,Casual Outing,Hoodie + Joggers + Running Shoes,Mild,Casual,Polyester
Casual,Medium,Ralph Lauren,Wedding,Cardigan + Dress Pants + Oxford Shoes,Mild,Moderate,Polyester
Business,Low,Prada,Beach,Monochrome Sweater + Tailored Trousers + Chelsea Boots,Cold,Comfortable,Wool
Bohemian,Low,Balenciaga,Office,T-shirt + Jeans + Sneakers,Mild,Comfortable,Polyester
Formal,Luxury,Uniqlo,Beach,Denim Jacket + Black Jeans + High-top Sneakers,Cold,Comfortable,Wool
Business,Medium,Nike,Formal Event,Blouse + A-line Skirt + Heels,Mild,Moderate,Polyester
Formal,Low,Uniqlo,Casual Outing,Monochrome Sweater + Tailored Trousers + Chelsea Boots,Cold,Comfortable,Wool
Minimalist,Low,H&M,Night Out,Hoodie + Joggers + Running Shoes,Mild,Casual,Polyester
Chic,Low,Uniqlo,Beach,Tunic + Leggings + Flats,Mild,Casual,Polyester
Streetwear,Low,H&M,Wedding,Monochrome Sweater + Tailored Trousers + Chelsea Boots,Cold,Comfortable,Wool
Streetwear,Medium,Zara,Wedding,Turtleneck + Blazer + Trousers,Mild,Comfortable,Polyester
Bohemian,High,Nike,Office,Leather Jacket + Skinny Jeans + Boots,Cold,Comfortable,Wool
Casual,Luxury,Zara,Party,Cardigan + Dress Pants + Oxford Shoes,Mild,Moderate,Polyester
Business,Luxury,Zara,Wedding,Monochrome Sweater + Tailored Trousers + Chelsea Boots,Cold,Comfortable,Wool
Preppy,High,H&M,Wedding,Sweater + Khakis + Dress Shoes,Cold,Moderate,Wool
Bohemian,High,ASOS,Casual Outing,Plain T-shirt + Straight Leg Pants + Slip-Ons,Mild,Casual,Polyester
Business,Medium,COS,Casual Outing,Button-down Shirt + Slim Jeans + Brogues,Mild,Comfortable,Polyester
Streetwear,High,Nike,Party,Denim Jacket + Black Jeans + High-top Sneakers,Cold,Comfortable,Wool
Chic,High,Zara,Casual Outing,Rugby Shirt + Corduroy Pants + Loafers,Mild,Casual,Polyester
Bohemian,High,Ralph Lauren,Office,Polo Shirt + Chinos + Loafers,Mild,Casual,Polyester
Bohemian,Luxury,Nike,Casual Outing,Turtleneck + Blazer + Trousers,Mild,Comfortable,Polyester
Sporty,High,Uniqlo,Party,Peacoat + Wool Trousers + Dress Boots,Mild,Comfortable,Polyester
Streetwear,Medium,Dior,Gym,Blouse + A-line Skirt + Heels,Mild,Moderate,Polyester
Sporty,High,H&M,Formal Event,Blouse + Pencil Skirt + Pumps,Mild,Moderate,Polyester
Trendy,Low,Gucci,Casual Outing,Blouse + A-line Skirt + Heels,Mild,Moderate,Polyester
Chic,Luxury,Levi's,Office,Leather Jacket + Skinny Jeans + Boots,Cold,Comfortable,Wool
Streetwear,Luxury,Dior,Formal Event,Rugby Shirt + Corduroy Pants + Loafers,Mild,Casual,Polyester
Sporty,Medium,Zara,Office,Turtleneck + Blazer + Trousers,Mild,Comfortable,Polyester
Sporty,Medium,Nike,Formal Event,Cardigan + Dress Pants + Oxford Shoes,Mild,Moderate,Polyester
Bohemian,Low,Levi's,Formal Event,Sweater + Khakis + Dress Shoes,Cold,Moderate,Wool
Streetwear,Medium,Zara,Formal Event,Monochrome Sweater + Tailored Trousers + Chelsea Boots,Cold,Comfortable,Wool
Business,Medium,COS,Night Out,T-shirt + Jeans + Sneakers,Mild,Comfortable,Polyester
Streetwear,Medium,Uniqlo,Office,T-shirt + Jeans + Sneakers,Mild,Comfortable,Polyester
Sporty,Medium,Prada,Party,Turtleneck + Blazer + Trousers,Mild,Comfortable,Polyester
Chic,Medium,COS,Formal Event,Plain T-shirt + Straight Leg Pants + Slip-Ons,Mild,Casual,Polyester
Casual,Medium,Gucci,Beach,Graphic Tee + Slim Jeans + Boots,Mild,Comfortable,Polyester
Casual,Medium,Levi's,Gym,Cardigan + Dress Pants + Oxford Shoes,Mild,Moderate,Polyester
Formal,Medium,Dior,Night Out,Leather Jacket + Skinny Jeans + Boots,Cold,Comfortable,Wool
Chic,High,Dior,Office,Windbreaker + Athletic Shorts + Running Shoes,Hot,Casual,Cotton
Formal,Low,Dior,Party,Sweater + Khakis + Dress Shoes,Cold,Moderate,Wool
Bohemian,Luxury,Ralph Lauren,Gym,Peacoat + Wool Trousers + Dress Boots,Mild,Comfortable,Polyester
Sporty,Low,Dior,Beach,Monochrome Sweater + Tailored Trousers + Chelsea Boots,Cold,Comfortable,Wool
Formal,Medium,Uniqlo,Night Out,Polo Shirt + Chinos + Loafers,Mild,Casual,Polyester
Preppy,Medium,Zara,Gym,Windbreaker + Athletic Shorts + Running Shoes,Hot,Casual,Cotton
Minimalist,Medium,Zara,Wedding,Plain T-shirt + Straight Leg Pants + Slip-Ons,Mild,Casual,Polyester
Sporty,Low,Zara,Night Out,Blouse + Pencil Skirt + Pumps,Mild,Moderate,Polyester
Minimalist,Low,Uniqlo,Party,Peacoat + Wool Trousers + Dress Boots,Mild,Comfortable,Polyester
Trendy,High,Zara,Beach,Sweater + Khakis + Dress Shoes,Cold,Moderate,Wool
Preppy,Luxury,COS,Party,Sweatshirt + Cargo Pants + Trainers,Mild,Casual,Polyester
Bohemian,Low,H&M,Beach,Monochrome Sweater + Tailored Trousers + Chelsea Boots,Cold,Comfortable,Wool
Minimalist,Medium,Levi's,Beach,Graphic Tee + Slim Jeans + Boots,Mild,Comfortable,Polyester
Sporty,Low,Uniqlo,Night Out,Monochrome Sweater + Tailored Trousers + Chelsea Boots,Cold,Comfortable,Wool
Casual,Low,Nike,Beach,Peacoat + Wool Trousers + Dress Boots,Mild,Comfortable,Polyester
Chic,Luxury,Prada,Formal Event,Sweater + Khakis + Dress Shoes,Cold,Moderate,Wool
Chic,Medium,H&M,Night Out,Rugby Shirt + Corduroy Pants + Loafers,Mild,Casual,Polyester
Sporty,Low,Levi's,Office,Cardigan + Dress Pants + Oxford Shoes,Mild,Moderate,Polyester
Streetwear,High,Adidas,Night Out,T-shirt + Jeans + Sneakers,Mild,Comfortable,Polyester
Casual,Low,H&M,Formal Event,Hoodie + Joggers + Running Shoes,Mild,Casual,Polyester
Casual,Low,Versace,Casual Outing,Flannel Shirt + Denim Shorts + Sneakers,Hot,Casual,Cotton
Casual,Medium,COS,Formal Event,Hoodie + Joggers + Running Shoes,Mild,Casual,Polyester
Casual,High,Nike,Formal Event,Dress Shirt + Tie + Suit Pants,Mild,Moderate,Polyester
Sporty,Low,Adidas,Casual Outing,Dress Shirt + Tie + Suit Pants,Mild,Moderate,Polyester
Chic,High,Gucci,Gym,Polo Shirt + Chinos + Loafers,Mild,Casual,Polyester
Bohemian,Luxury,Versace,Office,Crop Top + Wide Leg Pants + Ankle Boots,Mild,Casual,Polyester
Sporty,Luxury,Adidas,Night Out,Polo Shirt + Chinos + Loafers,Mild,Casual,Polyester
Bohemian,Luxury,Versace,Beach,Leather Jacket + Skinny Jeans + Boots,Cold,Comfortable,Wool
Business,High,Dior,Office,Windbreaker + Athletic Shorts + Running Shoes,Hot,Casual,Cotton
Preppy,Medium,Uniqlo,Night Out,Dress Shirt + Tie + Suit Pants,Mild,Moderate,Polyester
Formal,Low,Nike,Formal Event,Crop Top + Wide Leg Pants + Ankle Boots,Mild,Casual,Polyester
Formal,Medium,H&M,Night Out,Hoodie + Joggers + Running Shoes,Mild,Casual,Polyester
Sporty,Medium,Levi's,Casual Outing,Button-down Shirt + Slim Jeans + Brogues,Mild,Comfortable,Polyester
Sporty,High,Prada,Casual Outing,Sweater + Khakis + Dress Shoes,Cold,Moderate,Wool
Minimalist,Medium,COS,Night Out,Rugby Shirt + Corduroy Pants + Loafers,Mild,Casual,Polyester
Sporty,High,H&M,Night Out,Windbreaker + Athletic Shorts + Running Shoes,Hot,Casual,Cotton
Formal,Low,Adidas,Night Out,Plain T-shirt + Straight Leg Pants + Slip-Ons,Mild,Casual,Polyester
Bohemian,High,ASOS,Party,Monochrome Sweater + Tailored Trousers + Chelsea Boots,Cold,Comfortable,Wool
Preppy,Luxury,Adidas,Beach,Peacoat + Wool Trousers + Dress Boots,Mild,Comfortable,Polyester
Sporty,Luxury,Zara,Formal Event,Rugby Shirt + Corduroy Pants + Loafers,Mild,Casual,Polyester
Business,Luxury,Uniqlo,Gym,Button-down Shirt + Slim Jeans + Brogues,Mild,Comfortable,Polyester
Sporty,High,Prada,Formal Event,Graphic Tee + Slim Jeans + Boots,Mild,Comfortable,Polyester
Trendy,Medium,Ralph Lauren,Beach,Denim Jacket + Black Jeans + High-top Sneakers,Cold,Comfortable,Wool
Bohemian,Medium,Adidas,Party,Graphic Tee + Slim Jeans + Boots,Mild,Comfortable,Polyester
Sporty,Low,Levi's,Wedding,Flannel Shirt + Denim Shorts + Sneakers,Hot,Casual,Cotton
Casual,Medium,Nike,Wedding,Hoodie + Joggers + Running Shoes,Mild,Casual,Polyester
Formal,Medium,Zara,Wedding,Monochrome Sweater + Tailored Trousers + Chelsea Boots,Cold,Comfortable,Wool
Streetwear,Low,Dior,Beach,Blouse + Pencil Skirt + Pumps,Mild,Moderate,Polyester
Casual,Low,Zara,Casual Outing,T-shirt + Jeans + Sneakers,Mild,Comfortable,Polyester
Formal,Low,Gucci,Casual Outing,Dress Shirt + Tie + Suit Pants,Mild,Moderate,Polyester
Streetwear,High,Uniqlo,Formal Event,Blouse + Pencil Skirt + Pumps,Mild,Moderate,Polyester
Chic,Luxury,Levi's,Beach,Flannel Shirt + Denim Shorts + Sneakers,Hot,Casual,Cotton
Minimalist,Medium,Ralph Lauren,Beach,Turtleneck + Blazer + Trousers,Mild,Comfortable,Polyester
Business,High,Zara,Gym,Dress Shirt + Tie + Suit Pants,Mild,Moderate,Polyester
Bohemian,High,Versace,Gym,Polo Shirt + Chinos + Loafers,Mild,Casual,Polyester
Business,Medium,Dior,Party,Windbreaker + Athletic Shorts + Running Shoes,Hot,Casual,Cotton
Preppy,Luxury,Nike,Office,Denim Jacket + Black Jeans + High-top Sneakers,Cold,Comfortable,Wool
Streetwear,Low,Zara,Night Out,Hoodie + Joggers + Running Shoes,Mild,Casual,Polyester
Sporty,High,Nike,Formal Event,Tunic + Leggings + Flats,Mild,Casual,Polyester
Business,Medium,Dior,Office,Plain T-shirt + Straight Leg Pants + Slip-Ons,Mild,Casual,Polyester
Streetwear,Low,Zara,Beach,Flannel Shirt + Denim Shorts + Sneakers,Hot,Casual,Cotton
Casual,Medium,COS,Beach,Polo Shirt + Chinos + Loafers,Mild,Casual,Polyester
Trendy,Luxury,Levi's,Office,Cardigan + Dress Pants + Oxford Shoes,Mild,Moderate,Polyester
Sporty,High,H&M,Casual Outing,Peacoat + Wool Trousers + Dress Boots,Mild,Comfortable,Polyester
Chic,Medium,Zara,Formal Event,Rugby Shirt + Corduroy Pants + Loafers,Mild,Casual,Polyester
Casual,Medium,Adidas,Office,Graphic Tee + Slim Jeans + Boots,Mild,Comfortable,Polyester
Minimalist,Luxury,Balenciaga,Formal Event,Sweatshirt + Cargo Pants + Trainers,Mild,Casual,Polyester
Preppy,Low,Nike,Wedding,Plain T-shirt + Straight Leg Pants + Slip-Ons,Mild,Casual,Polyester
Preppy,Luxury,Adidas,Formal Event,Windbreaker + Athletic Shorts + Running Shoes,Hot,Casual,Cotton
Sporty,Luxury,Versace,Gym,Sweater + Khakis + Dress Shoes,Cold,Moderate,Wool
Sporty,Low,Balenciaga,Party,Dress Shirt + Tie + Suit Pants,Mild,Moderate,Polyester
Bohemian,Medium,Nike,Gym,Hoodie + Joggers + Running Shoes,Mild,Casual,Polyester
Minimalist,Luxury,Dior,Formal Event,Polo Shirt + Chinos + Loafers,Mild,Casual,Polyester
Preppy,Luxury,Prada,Party,Crop Top + Wide Leg Pants + Ankle Boots,Mild,Casual,Polyester
Casual,Low,Versace,Beach,Turtleneck + Blazer + Trousers,Mild,Comfortable,Polyester
Preppy,Low,Nike,Gym,Blouse + Pencil Skirt + Pumps,Mild,Moderate,Polyester
Chic,High,Ralph Lauren,Formal Event,Leather Jacket + Skinny Jeans + Boots,Cold,Comfortable,Wool
Streetwear,Luxury,Prada,Gym,Crop Top + Wide Leg Pants + Ankle Boots,Mild,Casual,Polyester
Bohemian,High,Gucci,Wedding,Sweatshirt + Cargo Pants + Trainers,Mild,Casual,Polyester
Preppy,Luxury,Prada,Wedding,Turtleneck + Blazer + Trousers,Mild,Comfortable,Polyester
Streetwear,Medium,Balenciaga,Beach,Denim Jacket + Black Jeans + High-top Sneakers,Cold,Comfortable,Wool
Preppy,High,Levi's,Beach,Plain T-shirt + Straight Leg Pants + Slip-Ons,Mild,Casual,Polyester
Streetwear,Medium,H&M,Beach,Plain T-shirt + Straight Leg Pants + Slip-Ons,Mild,Casual,Polyester
Sporty,Luxury,Versace,Office,Rugby Shirt + Corduroy Pants + Loafers,Mild,Casual,Polyester
Sporty,High,Gucci,Party,Cardigan + Dress Pants + Oxford Shoes,Mild,Moderate,Polyester
Formal,Low,Nike,Beach,Crop Top + Wide Leg Pants + Ankle Boots,Mild,Casual,Polyester
Chic,Luxury,Adidas,Formal Event,Cardigan + Dress Pants + Oxford Shoes,Mild,Moderate,Polyester
Minimalist,Low,Adidas,Party,Tunic + Leggings + Flats,Mild,Casual,Polyester
Trendy,Luxury,Uniqlo,Casual Outing,Monochrome Sweater + Tailored Trousers + Chelsea Boots,Cold,Comfortable,Wool
